"short_subject_offered_summary.csv"
"Subject Offered Summary Key","(\d\d.\d\d\d\d\d\d\d\d\W$,96.0)|(\d.\d\d\d\d\d\d\d\W\W$,208.0)|(\W\d\W.\d\d\W\d\d\d\d\d\W\W$,99.0)|(\W\W.\d\d\d\d\d\d\d\W\W$,79.0)|(\d\W\W.\d\d\d\d\d\d\d\W\W\W$,115.0)|(\d\W\W.\d\d\d\d\d\d\d\W\W\W$,121.0)|(\W.\d\d\d\d\d\d\d\d\W$,281.0)"
"Composite Subject Key","(\W\d\W.\d\d\d\d\d\d\d\d\W\W$,113.0)|(\d.\d\d\d\d\d\d\W\W\W$,392.0)|(\W\W.\d\d\d\d\d\d\d\d\W$,37.0)|(\W\W\W.\d\d\d\d\d\d\d\W\W$,63.0)|(\W\W\W.\d\d\d\d\d\d\d\W\W\W$,117.0)|(\d\W\W.\d\d\d\d\d\d\d\W\W\W$,159.0)|(\d\d\W.\W\d\d\d\d\d\d\W\W\W$,118.0)"
"Term Code","(\d\d\d\d\W\W$,164.0)|(\d\d\d\d\W\W$,92.0)|(\d\d\d\d\W\W$,72.0)|(\d\d\d\d\W\W$,158.0)|(\d\d\d\d\W\W$,112.0)|(\d\d\d\d\W\W$,221.0)|(\d\d\d\d\W\W$,180.0)"
"Course Number","(\d$,329.0)|(\d$,101.0)|(\W\d\W$,151.0)|(\d\W\W$,159.0)|(\d\W\W$,93.0)|(\d\d\W$,70.0)|(\d\W\W$,97.0)"
"Subject Id","(\d*\d\d\d$,2.0)|(\d.\d\d*$,345.0)|(\d\d.\d\d*$,84.0)|(\d\d\W*\d\d\d\d$,14.0)|(\W\d.\d\d\d$,91.0)|(\d\d.\W\d\d$,311.0)|(\W.\d\W\d$,152.0)"
"Subject Id Sort","(\d\d\d*\d\d*\d$,86.0)|(\d\d\W\d\d\d\W\d$,8.0)|(\d\W.\W\d$,403.0)|(*\W\W.\d\d\d\d$,96.0)|(\W*\d.\d\d\d$,85.0)|(\d\W\W.\d\d\d$,256.0)|(\d\W\W.\d\d\d\d$,65.0)"
"Subject Title","(\W\w\w\w\w*\w*\w\w\w\w\w\w\w\w*\w\w*\W**\w\W\W\W$,40.0)|(\W\d \W\w\w\w$,655.0)|(\W\w\w\w**** \d\w\d\w*\w**\w$,101.0)|(\W\w\w ***\w\W\w\w\w\w\w\w\w*\W\w\w\w\w\w\w\w\w$,52.0)|(\W\w\w*\w\w\w\w\w\w\w\w \W\w\w\w*\w**\w$,32.0)|(\W\w\w\w\w*\w\w*\w\w\w\w\w *\W\w\w\w\w\w$,30.0)|(\W\w\w**\w\w\w\w\w \W\w****\w\w\w\w\w$,89.0)"
"Master Subject Id","(\d\W\W*\d\d\d\d$,12.0)|(\W\d.\d\d$,135.0)|(\W*\d**\d\d\d$,4.0)|(\W\d.\W\d\d$,74.0)|(\d\W*.\d\d\d$,127.0)|(\d\d.\d\d$,343.0)|(\W\d.\d\d\d$,304.0)"
"Master Subject Id Sort","(*\d**\d\d\d\d$,88.0)|(\d\d.\d\d$,405.0)|(\d\W\W*\d\d\d\d$,19.0)|(*\d\W.\d\d\d$,111.0)|(\d\d.\d\d\d$,350.0)|(\W\W**\d\d\d\d$,21.0)|(\d\d\W.\d\d\d$,5.0)"
"Cluster Type","(\W$,71.0)|(\W$,192.0)|(\W$,75.0)|(\W$,45.0)|(\W$,47.0)|(\W$,104.0)|(\W$,14.0)"
"Cluster Type Desc","(\W\w\w\w\w:\w\w\w\w\w\w\w - $,44.0)|(\W\W\W* \W\w\w\w\w\w*\W\w\w\w$,338.0)|(\W\w\w\w\w:\w\w\w\w\w\w\w - $,26.0)|(\W\w\W: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,34.0)|(\W\W\w: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,29.0)|(\W\W\w: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,26.0)|(\W\W\w: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,34.0)"
"Cluster List","(\d\d.\d\d\d, \W\d\W.\d\d\d$,20.0)|(\d\d.\d\d\d, \d*.\d\d\d$,15.0)|(\d.\d\d\d, \d*.\d\d$,30.0)|(\d\d\W.\d\d\d, \d*\W.\d\d\d$,7.0)|(\d\d\W.\d\d\d, \d\d\W.\d\d*$,9.0)|(\d\d\W.\d\d\d, \d\d\W.\d\d\d$,3.0)|(\d*\W.\d\d\d, \d\d\W.\d\d\d$,19.0)"
"Hgn Code","(\W$,185.0)|(\W$,159.0)|(\W$,159.0)|(\W$,124.0)|(\W$,95.0)|(\W$,75.0)|(\W$,218.0)"
