Academic Terms Key,Term Code,Term Description,Term Selector,Term Start Date,Term End Date,Academic Year,Academic Year Desc,Is Current Term,Term Status Indicator,Financial Aid Year,Degree Year,Last Day Of Final Exam,Pre Registration Start Day,Registration Day,First Day Of Classes,Last Day Of Classes,Graduate Award Start Date,Graduate Award End Date,Warehouse Load Date
1961FA,1961FA,Fall Term 1960-1961,1961FA-Fall Term 1960-1961,09/19/1960,01/27/1961,1961,Academic Year 1960-1961,N,P,1961,1961,01/27/1961,"",09/19/1960,"","","","",01/08/2016
1960SP,1960SP,Spring Term 1959-1960,1960SP-Spring Term 1959-1960,02/08/1960,06/03/1960,1960,Academic Year 1959-1960,N,P,1960,1960,06/03/1960,"",02/08/1960,"","","","",01/08/2016
1961SP,1961SP,Spring Term 1960-1961,1961SP-Spring Term 1960-1961,02/06/1961,06/02/1961,1961,Academic Year 1960-1961,N,P,1961,1961,06/02/1961,"",02/06/1961,"","","","",01/08/2016
1963SP,1963SP,Spring Term 1962-1963,1963SP-Spring Term 1962-1963,02/04/1963,05/31/1963,1963,Academic Year 1962-1963,N,P,1963,1963,05/31/1963,"",02/04/1963,"","","","",01/08/2016
1961SU,1961SU,Summer Term 1961,1961SU-Summer Term 1961,06/19/1961,08/31/1961,1961,Academic Year 1960-1961,N,P,1962,1962,08/31/1961,"",06/19/1961,"","","","",01/08/2016
1962SU,1962SU,Summer Term 1962,1962SU-Summer Term 1962,06/18/1962,08/30/1962,1962,Academic Year 1961-1962,N,P,1963,1963,08/30/1962,"",06/18/1962,"","","","",01/08/2016
1963SU,1963SU,Summer Term 1963,1963SU-Summer Term 1963,06/17/1963,08/29/1963,1963,Academic Year 1962-1963,N,P,1964,1964,08/29/1963,"",06/17/1963,"","","","",01/08/2016
1996FA,1996FA,Fall Term 1995-1996,1996FA-Fall Term 1995-1996,09/05/1995,12/22/1995,1996,Academic Year 1995-1996,N,P,1996,1996,12/22/1995,"",09/05/1995,09/06/1995,12/13/1995,09/01/1995,01/15/1996,01/08/2016
1996JA,1996JA,January Term 1995-1996,1996JA-January Term 1995-1996,01/08/1996,02/02/1996,1996,Academic Year 1995-1996,N,P,"","",02/02/1996,"",01/08/1996,01/08/1996,02/05/1996,"","",01/08/2016
1996SP,1996SP,Spring Term 1995-1996,1996SP-Spring Term 1995-1996,02/05/1996,05/24/1996,1996,Academic Year 1995-1996,N,P,1996,1996,05/24/1996,05/05/1996,02/05/1996,02/06/1996,05/16/1996,01/16/1996,05/31/1996,01/08/2016
