Building Key,Building Number,Building Name,Building Street Address,Building Mailing Address,Bldg Gross Square Footage,Bldg Assignable Square Footage,Building Counter,Warehouse Load Date
1,1,Henry L Pierce Engineering Laboratory,33  MASSACHUSETTS AVE,"","116,239.37","76,126.94",1.00,01/08/16 05:21 AM
10,10,Richard Cockburn MacLaurin Buildings (10),222  MEMORIAL DR,"","144,270.71","86,437.63",1.00,01/08/16 05:21 AM
11,11,Homberg Building,77 MASSACHUSETTS AVE (REAR),"","26,705.26","18,689.54",1.00,01/08/16 05:21 AM
13,13,Vannevar Bush Building,105 MASSACHUSETTS AVE (REAR),"","183,168.57","96,632.08",1.00,01/08/16 05:21 AM
14,14,Charles Hayden Memorial Library,160  MEMORIAL DR,"","154,515.73","103,712.5",1.00,01/08/16 05:21 AM
16,16,Dorrance Building,21  AMES ST,"","116,213.91","57,877.47",1.00,01/08/16 05:21 AM
17,17,Wright Brothers Wind Tunnel,76  VASSAR ST,"","6,074.7","5,585.84",1.00,01/08/16 05:21 AM
18,18,Camille Edouard Dreyfus Building,21  AMES ST,"","133,732.1","75,600.39",1.00,01/08/16 05:21 AM
2,2,Building 2,182  MEMORIAL DR,"","121,649.77","74,023.09",1.00,01/08/16 05:21 AM
24,24,Building 24,60  VASSAR ST,"","77,685.93","49,904.03",1.00,01/08/16 05:21 AM
26,26,Karl Taylor Compton Laboratories,60  VASSAR ST,"","133,545.12","80,689.29",1.00,01/08/16 05:21 AM
3,3,Richard Cockburn MacLaurin Buildings (3),33 MASSACHUSETTS AVE (REAR),"","160,124.08","103,996.2",1.00,01/08/16 05:21 AM
31,31,Sloan Laboratories For Aircraft & Automotive Engineering,70  VASSAR ST (REAR),"","62,551.08","46,725.98",1.00,01/08/16 05:21 AM
32,32,Ray and Maria Stata Center,32 VASSAR ST,"","463,662","286,126.22",1.00,01/08/16 05:21 AM
32P,32P,Ray and Maria Stata Center Garage,32 VASSAR ST,"","239,353.28","219,268.15",1.00,01/08/16 05:21 AM
33,33,Daniel Guggenheim Aeronautical Laboratory,125  MASSACHUSETTS AVE,"","55,046.17","36,106.19",1.00,01/08/16 05:21 AM
34,34,EG&G Education Center,50  VASSAR ST,"","26,966.05","14,686.51",1.00,01/08/16 05:21 AM
35,35,Sloan Laboratory,127  MASSACHUSETTS AVE,"","68,012.32","41,662.46",1.00,01/08/16 05:21 AM
36,36,Fairchild Buildings (36),50  VASSAR ST,"","145,819.4","71,541.2",1.00,01/08/16 05:21 AM
37,37,Ronald E McNair Building,70  VASSAR ST,"","102,832.84","55,961.51",1.00,01/08/16 05:21 AM
38,38,Fairchild Buildings (38),50  VASSAR ST,"","84,329.46","56,162.59",1.00,01/08/16 05:21 AM
39,39,Stanley Gordon Brown Building,60  VASSAR ST,"","75,808.22","39,252.86",1.00,01/08/16 05:21 AM
4,4,Richard Cockburn MacLaurin Buildings (4),182  MEMORIAL DR (REAR),"","162,614.16","99,520.02",1.00,01/08/16 05:21 AM
41,41,Building 41,77  VASSAR ST,"","26,078.68","20,063.87",1.00,01/08/16 05:21 AM
42,42,William R. Dickson Cogeneration Plant,59  VASSAR ST,"","79,050.49","4,380",1.00,01/08/16 05:21 AM
43,43,Power Plant Annex,57  VASSAR ST,"","10,373.95","5,443.11",1.00,01/08/16 05:21 AM
44,44,Cyclotron,51  VASSAR ST,"","16,118.61","11,616.3",1.00,01/08/16 05:21 AM
46,46,Brain & Cognitive Sciences Complex,43 VASSAR ST,"","418,662.59","218,676.63",1.00,01/08/16 05:21 AM
48,48,Ralph M Parsons Laboratory For Water Resources & Hydrodynamics,15  VASSAR ST,"","57,227.15","38,547.18",1.00,01/08/16 05:21 AM
5,5,Pratt School Of Naval Architecture And Marine Engineering,55  MASSACHUSETTS AVE,"","80,942.35","55,175.35",1.00,01/08/16 05:21 AM
