Program Code,Program Title,Category Code,Category Title,Four Digit Code,Four Digit Title,Note,Warehouse Load Date,Version
451001,"Political Science and Government, General",45,SOCIAL SCIENCES,4510,Political Science and Government,"",06/11/14 08:42 AM,2010
451201,Urban Studies/Affairs,45,SOCIAL SCIENCES,4512,Urban Studies/Affairs,"",06/11/14 08:42 AM,2010
460399,"Electrical and Power Transmission Installers, Other",46,CONSTRUCTION TRADES,4603,Electrical and Power Transmission Installers,"",06/11/14 08:42 AM,2010
460501,Plumber and Pipefitter,46,CONSTRUCTION TRADES,4605,Plumbers and Pipefitters,"",06/11/14 08:42 AM,1990
470000,"Mechanics and Repairers, General",47,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS,4700,"Mechanics and Repairers, General","",06/11/14 08:42 AM,2010
470105,Industrial Electronics Technology/Technician,47,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS,4701,Electrical/Electronics Maintenance and Repair Technology,"",06/11/14 08:42 AM,2010
470110,"Security System Installation, Repair, and Inspection Technology/Technician",47,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS,4701,Electrical/Electronics Maintenance and Repair Technology,"",06/11/14 08:42 AM,2010
470608,Aircraft Powerplant Technology/Technician,47,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS,4706,Vehicle Maintenance and Repair Technologies,"",06/11/14 08:42 AM,2010
470609,Avionics Maintenance Technology/Technician,47,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS,4706,Vehicle Maintenance and Repair Technologies,"",06/11/14 08:42 AM,2010
470610,Bicycle Mechanics and Repair Technology/Technician,47,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS,4706,Vehicle Maintenance and Repair Technologies,"",06/11/14 08:42 AM,2010
480500,Precision Metal Workers,48,PRECISION PRODUCTION TRADES,4805,Precision Metal Workers,"",06/11/14 08:42 AM,1990
480507,Tool and Die Technology/Technician,48,PRECISION PRODUCTION,4805,Precision Metal Working,"",06/11/14 08:42 AM,2010
480702,Furniture Design and Manufacturing,48,PRECISION PRODUCTION,4807,Woodworking,"",06/11/14 08:42 AM,2010
480703,Cabinetmaking and Millwork,48,PRECISION PRODUCTION,4807,Woodworking,"",06/11/14 08:42 AM,2010
490105,Air Traffic Controller,49,TRANSPORTATION AND MATERIALS MOVING,4901,Air Transportation,"",06/11/14 08:42 AM,2010
490303,Commercial Fishing,49,TRANSPORTATION AND MATERIALS MOVING,4903,Marine Transportation,"",06/11/14 08:42 AM,2010
490309,Marine Science/Merchant Marine Officer,49,TRANSPORTATION AND MATERIALS MOVING,4903,Marine Transportation,"",06/11/14 08:42 AM,2010
500100,Visual and Performing Arts,50,VISUAL AND PERFORMING ARTS,5001,Visual and Performing Arts,"",06/11/14 08:42 AM,1990
500399,"Dance, Other",50,VISUAL AND PERFORMING ARTS,5003,Dance,"",06/11/14 08:42 AM,2010
500402,Commercial and Advertising Art,50,VISUAL AND PERFORMING ARTS,5004,Design and Applied Arts,"",06/11/14 08:42 AM,2010
500404,Industrial and Product Design,50,VISUAL AND PERFORMING ARTS,5004,Design and Applied Arts,"",06/11/14 08:42 AM,2010
500505,"Theatre Literature, History and Criticism",50,VISUAL AND PERFORMING ARTS,5005,Drama/Theatre Arts and Stagecraft,"",06/11/14 08:42 AM,2010
500510,Costume Design,50,VISUAL AND PERFORMING ARTS,5005,Drama/Theatre Arts and Stagecraft,New in 2010,06/11/14 08:42 AM,2010
500600,Film/Video and Photographic Arts,50,VISUAL AND PERFORMING ARTS,5006,Film/Video and Photographic Arts,"",06/11/14 08:42 AM,1990
500607,Documentary Production,50,VISUAL AND PERFORMING ARTS,5006,Film/Video and Photographic Arts,New in 2010,06/11/14 08:42 AM,2010
500703,"Art History, Criticism and Conservation",50,VISUAL AND PERFORMING ARTS,5007,Fine and Studio Arts,"",06/11/14 08:42 AM,2010
500713,Metal and Jewelry Arts,50,VISUAL AND PERFORMING ARTS,5007,Fine and Studio Arts,"",06/11/14 08:42 AM,2010
500904,Music Theory and Composition,50,VISUAL AND PERFORMING ARTS,5009,Music,"",06/11/14 08:42 AM,2010
500906,Conducting,50,VISUAL AND PERFORMING ARTS,5009,Music,"",06/11/14 08:42 AM,2010
500999,"Music, Other",50,VISUAL AND PERFORMING ARTS,5009,Music,"",06/11/14 08:42 AM,2010
510101,Chiropractic,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5101,Chiropractic,"",06/11/14 08:42 AM,2010
510203,Speech-Language Pathology/Pathologist,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5102,Communication Disorders Sciences and Services,"",06/11/14 08:42 AM,2010
510599,"Advanced/Graduate Dentistry and Oral Sciences, Other",51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5105,Advanced/Graduate Dentistry and Oral Sciences,"",06/11/14 08:42 AM,2010
510699,"Dental Services and Allied Professions, Other",51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5106,Dental Support Services and Allied Professions,"",06/11/14 08:42 AM,2010
510717,Medical Staff Services Technology/Technician,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5107,Health and Medical Administrative Services,"",06/11/14 08:42 AM,2010
510719,Clinical Research Coordinator,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5107,Health and Medical Administrative Services,New in 2010,06/11/14 08:42 AM,2010
510803,Occupational Therapist Assistant,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5108,Allied Health and Medical Assisting Services,"",06/11/14 08:42 AM,2010
510812,Respiratory Therapy Technician/Assistant,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5108,Allied Health and Medical Assisting Services,"",06/11/14 08:42 AM,2010
510813,Chiropractic Assistant/Technician,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5108,Allied Health and Medical Assisting Services,"",06/11/14 08:42 AM,2010
