site_id,site_name,tid
1,"Female germline-specific tumor suppressor gld-1, KH_1 domain",103735
2,"UDP-glucuronosyltransferase 1-10, UDPGT domain",104088
3,"Mitogen-activated protein kinase 8, Pkinase domain",104254
4,"Inosine-5'-monophosphate dehydrogenase 1, IMPDH domain",84
5,"Dopamine D1 receptor, 7tm_1 domain",88
6,"GABA transporter 1, SNF domain",113
7,"LDL-associated phospholipase A2, PAF-AH_p_II domain",10138
8,"Purinergic receptor P2Y1, 7tm_1 domain",10544
9,"3-phosphoinositide dependent protein kinase-1, Pkinase domain",10612
10,"Tyrosine-protein kinase CSK, Pkinase_Tyr domain",10844
11,"Carbonic anhydrase VA, Carb_anhydrase domain",11042
12,"Phosphodiesterase 3B, PDEase_I domain",11395
13,"Glycine transporter 2, SNF domain",11596
14,"11-beta-hydroxysteroid dehydrogenase 1, adh_short domain",11862
15,"Monoamine oxidase B, Amino_oxidase domain",12127
16,"Lactase-glycosylceramidase, Glyco_hydro_1 domain",12390
17,"Mu opioid receptor, 7tm_1 domain",12471
18,"Thymidylate kinase, Thymidylate_kin domain",12538
19,"Excitatory amino acid transporter 2, SDF domain",12640
20,"Group IID secretory phospholipase A2, Phospholip_A2_1 domain",12652
21,"Serotonin 2c (5-HT2c) receptor, 7tm_1 domain",12689
22,"Alpha-2a adrenergic receptor, 7tm_1 domain",12744
23,"Adenosine A2a receptor, 7tm_1 domain",17086
24,"Orotidine phosphate decarboxylase, OMPdecase domain",100780
25,"Mitogen-activated protein kinase 1, Pkinase domain",100895
26,"NH(3)-dependent NAD(+) synthetase, NAD_synthase domain",101141
27,"Serotonin 2a (5-HT2a) receptor, 7tm_1 domain",12687
28,"Cytochrome P450 17A1, p450 domain",12949
29,"ADAM17, Peptidase_M84 domain",17024
30,"GABA receptor alpha-1 subunit, Neur_chan_LBD domain",19609
31,"Metabotropic glutamate receptor 1, ANF_receptor domain",19642
32,"Cysteine proteinase B, Peptidase_C1 domain",20096
33,"Serine/threonine-protein kinase PLK4, Pkinase domain",30003
34,"Serine/threonine-protein kinase Aurora-A, Pkinase domain",100818
35,"Glycogen debranching enzyme, GDE_C domain",100905
36,"Dihydrofolate reductase, DHFR_1 domain",101140
37,"Fatty acid-binding protein, liver, Lipocalin domain",101528
38,"Mu-type opioid receptor, 7tm_1 domain",101562
39,"Diacylglycerol O-acyltransferase 1, MBOAT domain",102835
40,"Thyroid hormone receptor alpha, Hormone_recep domain",59
41,"Pyrimidinergic receptor P2Y6, 7tm_1 domain",10012
42,"Aldehyde dehydrogenase, Aldedh domain",30
43,"Histamine H2 receptor, 7tm_1 domain",102
44,"Alpha-2c adrenergic receptor, 7tm_1 domain",218
45,"Phosphodiesterase 1A, PDEase_I domain",10177
46,"Taq polymerase 1, DNA_pol_A domain",10454
47,"Beta-galactosidase, Glyco_hydro_35 domain",10675
48,"Sphingosine kinase 2, DAGK_cat domain",10900
49,"Dual specificity protein phosphatase 3, DSPc domain",11160
50,"Cytochrome P450 51, p450 domain",11188
51,"Coagulation factor XI, Trypsin domain",11287
52,"Cyclooxygenase-1, An_peroxidase domain",11343
53,"Phosphodiesterase 4C, PDEase_I domain",11396
54,"Cholecystokinin B receptor, 7tm_1 domain",11522
55,"Hepatitis C virus NS5B RNA-dependent RNA polymerase, RdRP_3 domain",12097
56,"Tyrosine-protein kinase ZAP-70 , Pkinase_Tyr domain",12214
57,"Squalene synthetase, SQS_PSY domain",11120
58,"Histamine H3 receptor, 7tm_1 domain",11299
59,"Caspase-1, Peptidase_C14 domain",11810
60,"Acrosin, Trypsin domain",12029
61,"Monoamine oxidase B, Amino_oxidase domain",12232
62,"Glutamate (NMDA) receptor subunit zeta 1, ANF_receptor domain",12865
63,"Cytidine deaminase, dCMP_cyt_deam_1 domain",12945
64,"Glutaminyl-peptide cyclotransferase, Peptidase_M28 domain",100450
65,"Betaine--homocysteine S-methyltransferase 1, S-methyl_trans domain",100787
