,type,regex,randomString
0,email,[\w-]+@([\w-]+\.)+[\w-]+,2EQF@xHs.CiWqho.fp.5fCazb.L6wd5TYo8w.Ilwz.SySu40ddD
1,email,"^[A-Za-z0-9](([_\.\-]?[a-zA-Z0-9]+)*)@([A-Za-z0-9]+)(([\.\-]?[a-zA-Z0-9]+)*)\.([A-Za-z]{2,})$",c_MY48ONZW.9@joFlTTSge.xePWvH88uSNyeNh-L04Xejw.JqP
3,email,"^([\w\d\-\.]+)@{1}(([\w\d\-]{1,67})|([\w\d\-]+\.[\w\d\-]{1,67}))\.(([a-zA-Z\d]{2,4})(\.[a-zA-Z\d]{2})?)$",HDJr8_c@AczI8fNnN.fNa6
4,email,"^.+@[^\.].*\.[a-z]{2,}$","pgG'eu]9\@|{iTj(,c-j.eq"
5,email,"(\w[-._\w]*\w@\w[-._\w]*\w\.\w{2,3})",tP2RtlSpB@HW.Ij0
6,email,"^([0-9a-zA-Z]([-.\w]*[0-9a-zA-Z])*@([0-9a-zA-Z][-\w]*[0-9a-zA-Z]\.)+[a-zA-Z]{2,9})$",lCOxu6thZEsptsiJMG1yB5aHrbjqJrAj@dDn0J.YhB0.n0SIf.VEI2xtqs.n6YfY7mh.Fg3yF2ty.qDmJO_lr.3wd.iad3ubl38cH.3M.DupmvVWYc
7,email,"^(([A-Za-z0-9]+_+)|([A-Za-z0-9]+\-+)|([A-Za-z0-9]+\.+)|([A-Za-z0-9]+\++))*[A-Za-z0-9]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}$",gszc..........LON9_JcpjLv-----hd90QFU40_vqmHus1Xa---------m----68XbYV...mPA_8Ywp..........Cc3@Nkac----dTKE.dptS.y.7.MAhOMYh-----IVftgP.bwN.lNNNDW
8,email,"^((?:(?:(?:[a-zA-Z0-9][\.\-\+_]?)*)[a-zA-Z0-9])+)\@((?:(?:(?:[a-zA-Z0-9][\.\-_]?){0,62})[a-zA-Z0-9])+)\.([a-zA-Z0-9]{2,6})$",UOawj_x+C-XvJuW_DUH-O-jp+Gut+b_G-PF.2-YHc.t_7Y.1+fXC+Y.ubUMrZfX6_Hg-3jt+l-Y_K-m-I_9.6.9.Ev.m.J_v+J-D.z4k@P.X5Bd.6.B_Z.ciKAyr_4y_v-llz.VKfs.3yi
9,email,"^(([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+([;.](([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+)*$",X3bHYS3M4a@i.SEqJBIkEhChBIxZDfVPK@wi2dz2u.Dj.OBvrrbzqTxWwVOUWMcVuvQpUamWbxArgjA.e@woQX4pR.oTPymHmzmP.7td@.PZq0dZDK1.lVZfHleKoUAW_5_1@56Ab.XuQZWRDlfoOReXpsCi@2vj.rHdDECuAcQcQJZBESeJMVC7ozm@.emmix.IciqVCCMzfcA@0H63y9.yDyVZpCBbj_6ARNzEIw@Ae1_-2m.lwoVgxEzBulkqozzLVPztnJUNBHGJXAYdRxOaa@6J7tMmw1.pA.dqGAFoD@6z1y.SlacgYbjJvQkpVuxRvD38CegFb_3v@SW2bcES.gjWTyrleVUJjNIPWjOucToDr1eX4U@4U.Jy.yrqSwzEkgmDpXUDwvZvQ11O700hcR@vNaI.DtgnZatsYfrVEHnEtrchOaCAqBnLqQbNeVc-Cjaae@K8Oqs.kDdWEyjJdfF@hFBroqw.qzcCHLsCUpgpHjrckxoSJvgIFgmYaSddfThz_0tgonCN@XW2d3YT.QhKUXGvdUimRiTWFDjOglXAYGNcqAeurMGEgO@JTN1q.WXAzNpyuRxQyUKtXRTtGmIjXzh_@I_IijK7m.xfDUvkM;pn.Z@yKi68s.FaUctVvoZazFCrnBdfjbnTxyYdvKOxnjp6i5d8_rBn@9sm52h.SixnGFJac4aOWSXl@s-.uvyafHXXTCzLYziaMaomvcwckGbRtCbqVIWMJ@rO.zCMcHBnsNnSPWOVfNUWHD@X.RJORQyZVkFefwmadGJjwZejWi@f.LtzmLdxHQXhbzaSRCMtJQEWRAzDKZbAaDIYgwP-p@a0OSWlx4ZX.PRoBvVqLV;PTvF9QDehh@RT.FQswNkEeGG@vK93RA98h.VflQSOk.@7a6h7.FmAlZpjCm8etgjUd0@-_83yaA.mbMkpIGIHTltdqNsrwOP.eR@B1.JrTLBDyttQwzNGrpxtPEm
10,email,"^([0-9a-zA-Z]+[-._+&amp;])*[0-9a-zA-Z]+@([-0-9a-zA-Z]+[.])+[a-zA-Z]{2,6}$",37ElTK.a3aYzxbm8hqyaiM_F8Tw3H_V4adAfZ1vCAmCOD4Lm1qHc8mOLcbv;uc3wkTbLmmMwbWfn6B@Ac.ODx.EoxWciK.pzEm0S.O.GZGcH.mk5OR7lM.XE.SJ
11,email,"^[a-zA-Z]+(([\'\,\.\- ][a-zA-Z ])?[a-zA-Z]*)*\s+&lt;(\w[-._\w]*\w@\w[-._\w]*\w\.\w{2,3})&gt;$|^(\w[-._\w]*\w@\w[-._\w]*\w\.\w{2,3})$",mOxSDopweykTLPd-ghqkJHvtyrKA.EAclEWq-ZhdYQohDhDzqJQSpwI'bk'UTjgEdexAJk		 &lt;K06@Qjcr1L2IMWb.qnV&gt;
