"short_subject_offered_summary.csv"
"Subject Offered Summary Key","(\d.\d\d\d\d\d\d\d\W\W$,369.0)|(\d\W\W.\d\d\W\d\d\d\d\W\W\W$,51.0)|(\d\d\W.\d\d\d\d\d\d\d\W\W\W$,104.0)|(\d\d\W.\d\d\d\d\d\d\d\W\W\W$,17.0)|(\d\d.\d\d\d\d\d\d\d\W\W$,323.0)|(\d\d.\d\d\W\d\d\d\d\d\W$,40.0)|(\W.\d\W\d\d\d\d\W\W\W$,95.0)"
"Composite Subject Key","(\d.\d\W\W\d\d\d\d\W\W$,113.0)|(\W.\W\W\d\d\d\d\d\W$,308.0)|(\d\d\W.\d\d\d\d\d\d\d\W\W\W$,89.0)|(\d\d\W.\d\d\d\d\d\d\d\W\W\W$,92.0)|(\d\W\W.\d\d\d\d\d\d\d\W\W\W$,93.0)|(\d**.\d\d\d\d\d\d\W\W\W\W$,70.0)|(\d\W\W.\d\d\d\d\d\d\d\W\W$,237.0)"
"Term Code","(\d\d\d\d\W\W$,132.0)|(\d\d\d\d\W\W$,141.0)|(\d\d\d\d\W\W$,204.0)|(\d\d\d\d\W\W$,94.0)|(\d\d\d\d\W\W$,97.0)|(\d\d\d\d\W\W$,198.0)|(\d\d\d\d\W\W$,134.0)"
"Course Number","(\d$,299.0)|(\d\W\W$,79.0)|(\W\d$,102.0)|(\d\d\W$,132.0)|(\d\d\W$,121.0)|(\W\W\W$,108.0)|(\d$,164.0)"
"Subject Id","(\d.\d\d\d$,253.0)|(\W\W\W\W\d**\d$,32.0)|(\d*\d\d\d$,2.0)|(\d\W\W.\d\d\d*$,143.0)|(\d\d\W.\W\d\d$,237.0)|(\d.\d\d\d$,198.0)|(\d.\d\d*$,134.0)"
"Subject Id Sort","(\d*\d\d\d$,2.0)|(\d\W\W\d\d\d\d\d$,4.0)|(\d\d\W.\d\d\d*$,147.0)|(\W\d\d.\d$,538.0)|(\d\W\W.\d\W\d\d$,109.0)|(*\W\W.\d\d**$,82.0)|(\d\W\W.\W\d\d\d$,117.0)"
"Subject Title","(\W\w\w\w\w\w\w\d***\w\w\w\W\w\w\W\w\w\w$,45.0)|(\W\w\w \W\w*\w*\W\w\w\w\w\w\w\w\w\w\w\w$,458.0)|(\W\w\w\w\w*\w**\W\w\W\w\w\w\W\w**\w\w$,24.0)|(\W\w** \W\w\w\w****\w\w*\W\w\w\w\w$,90.0)|(\W\W*****\w\w\w \W\d\d*\W******\w\w\w\w\w\w$,87.0)|(\W\w\w*\w\w\w \w\w\w\w*\w\w**\w\w$,46.0)|(\W\w\w\w\w\w\w \W\d\d\w*\w\w\w\w\w$,249.0)"
"Master Subject Id","(\d.\d\d\d$,696.0)|(\d***\W$,3.0)|(\d\d.\W\d*$,71.0)|(\W\d.\d\d\d$,58.0)|(\W***\d\d\d\d$,26.0)|(\d\d\W.\d\d\d$,76.0)|(\d\d.\d\d\d$,69.0)"
"Master Subject Id Sort","(\d\d*\d\d\d$,2.0)|(\d\d.\d\d*$,398.0)|(\d**\d\d\W\W$,109.0)|(\d****\W\W$,4.0)|(*.\d\d$,314.0)|(\d*\W.\d\d\W\d$,76.0)|(\d\W\W.\d\d\d$,96.0)"
"Cluster Type","(\W$,73.0)|(\W$,58.0)|(\W$,113.0)|(\W$,111.0)|(\W$,50.0)|(\W$,44.0)|(\W$,89.0)"
"Cluster Type Desc","(\W\W\W\w\w:\w\w\w\w\w\w\w - $,59.0)|(\W\W\w\w\w:\w\w\w\w\w\w\w - $,90.0)|(\W\W\w: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,69.0)|(\W\W\W: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,49.0)|(\W\W\W: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,75.0)|(\W\W\W: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,69.0)|(\W\W\W: \W\w\w\w\w\w-\W\w\w\w \W\w\w\w\w\w\w\w\w$,121.0)"
"Cluster List","(\d.\d\d\d, \d\d.\d\d$,5.0)|(\d\d\W.\d\d\d, \d\W.\d\d\d$,12.0)|(**\W.\d**, ***.***$,3.0)|(\d\d\W.\d\d\d, \d*\W.\d\d*$,9.0)|(\d\d.\d\d*, \W\d.\d\d\d$,24.0)|(\W.\d\d\d, \d\d.\d\d*$,24.0)|(\d\d\W.\d\d\d, \d*\W.\d\d\d$,26.0)"
"Hgn Code","(\W$,99.0)|(\W$,212.0)|(\W$,85.0)|(\W$,98.0)|(\W$,91.0)|(\W$,229.0)|(\W$,185.0)"
"Hgn Code Desc","(\W\w\w \w\w\w  *\w****$,691.0)|(\W\w\w\w\w\w \w\w\w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,93.0)|(\W\w\w\w\w\w \w\w\w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,92.0)|(\W\w\w\w\w\w \w\w\w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,19.0)|(\W\w\w\w\w\w \w\w\w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,28.0)|(\W\w\w\w\w\w \w\w\w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,19.0)|(\W\w\w*** \w\w\w** \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,57.0)"
"Offer Dept Code","(\d$,88.0)|(\d\d$,72.0)|(\W\W\W$,79.0)|(\W\W$,304.0)|(\d\d$,55.0)|(\d$,298.0)|(\d\d\W$,104.0)"
