Coord Sys Id,Coord Sys Name,Coord Sys Type,Dimension,Information Source,Data Source
"4,400","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: m.",Cartesian,2.00,EPSG,EPSG
"4,400,001","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: Mile.",Cartesian,2.00,EPSG,EPSG
"4,400,002","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: Yard.",Cartesian,2.00,EPSG,EPSG
"4,401","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: chBnB.",Cartesian,2.00,EPSG,EPSG
"4,402","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: chSe.",Cartesian,2.00,EPSG,EPSG
"4,403","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ftCla.",Cartesian,2.00,EPSG,EPSG
"4,404","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ftGC.",Cartesian,2.00,EPSG,EPSG
"4,405","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ftSe.",Cartesian,2.00,EPSG,EPSG
"4,406","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: km.",Cartesian,2.00,EPSG,EPSG
"4,407","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: lkCla.",Cartesian,2.00,EPSG,EPSG
"4,408","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ydInd.",Cartesian,2.00,EPSG,EPSG
"4,409","Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ydSe.",Cartesian,2.00,EPSG,EPSG
"4,495","Cartesian 2D CS.  Axes: easting, northing (X,Y). Orientations: east, north.  UoM: ft.",Cartesian,2.00,EPSG,EPSG
"4,496","Cartesian 2D CS.  Axes: easting, northing [E(X),N(Y)]. Orientations: east, north.  UoM: m.",Cartesian,2.00,EPSG,EPSG
"4,497","Cartesian 2D CS.  Axes: easting, northing (X,Y). Orientations: east, north.  UoM: ftUS.",Cartesian,2.00,EPSG,EPSG
