Subject Offered Summary Key,Composite Subject Key,Term Code,Course Number,Subject Id,Subject Id Sort,Subject Title,Master Subject Id,Master Subject Id Sort,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Total Units,Lecture Units,Lab Units,Preparation Units,Subject Enrollment Number,Cluster Enrollment Number,Warehouse Load Date,Num Enrolled Students,Subject Grouping Key,Subject Summary Key
17.9591997SU,17.9591997SU,1997SU,17,17.959,17.959,Reading Seminar in Soc Science,17.959,17.959,,,,H,Higher level graduate program,17,Political Science,"Hum, Arts & Social Sciences",,,1,0,1,0,1,,5/8/01 0:00,1,86CD64958F980327E0440003BACE90BC,17.9591997SU
17.NIV1997SU,17.NIV1997SU,1997SU,17,17.NIV, 17.NIV,Visiting Student Research,17.NIV, 17.NIV,,,,N,Not for graduate credit,17,Political Science,"Hum, Arts & Social Sciences",,,40,0,40,0,0,,5/8/01 0:00,0,,17.NIV1997SU
17.THU1997SU,17.THU1997SU,1997SU,17,17.THU, 17.THU,Thesis,17.THU, 17.THU,,,,N,Not for graduate credit,17,Political Science,"Hum, Arts & Social Sciences","Samuels, Richard",900017082,1,0,1,0,1,,5/8/01 0:00,1,86CD64958F9B0327E0440003BACE90BC,17.THU1997SU
24.2601998SP,24.2601998SP,1998SP,24,24.26,24.26,Topics in Philosophy,24.26,24.26,,,,N,Not for graduate credit,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Glanzberg, Michael",900041700,12,3,0,9,9,,5/8/01 0:00,9,86CD64959C8E0327E0440003BACE90BC,24.2601998SP
24.4011998SP,24.4011998SP,1998SP,24,24.401,24.401,Proseminar-Philosophy II,24.401,24.401,,,,H,Higher level graduate program,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Stalnaker, Robert",900024449,24,6,0,18,5,,5/8/01 0:00,5,86CD64959C910327E0440003BACE90BC,24.4011998SP
24.5001998SP,24.5001998SP,1998SP,24,24.5,24.5,Consciousness,24.5,24.5,,,,H,Higher level graduate program,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Byrne, Alexander",900020165,12,3,0,9,6,,5/8/01 0:00,6,86CD64959C920327E0440003BACE90BC,24.5001998SP
24.5011998SP,24.5011998SP,1998SP,24,24.501,24.501,Problems in Metaphysics,24.501,24.501,,,,H,Higher level graduate program,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Thomson, Judith",900019215,12,3,0,9,11,,5/8/01 0:00,11,86CD64959C930327E0440003BACE90BC,24.5011998SP
21L.4751998SP,21L.4751998SP,1998SP,21L,21L.475,21L.475,Irish Literature,21L.475,21L.475,,,,N,Not for graduate credit,21L,Literature,"Hum, Arts & Social Sciences",,,12,3,0,9,3,,5/8/01 0:00,3,86CD64959D560327E0440003BACE90BC,21L.4751998SP
21L.4891998SP,21W.7651998SP,1998SP,21L,21L.489,21L.489,Interactive & Non-Linear Narr,21W.765,21W.765,J,Joint subject,"21L.489, 21L.989, 21W.765",N,Not for graduate credit,21L,Literature,"Hum, Arts & Social Sciences","Murray, Jan",JMURR21F,12,3,0,9,2,19,5/8/01 0:00,2,86CD64959DA00327E0440003BACE90BC,21L.4891998SP
21L.9061998SP,21L.7061998SP,1998SP,21L,21L.906,21L.906,Studies in Film and Media,21L.706,21L.706,M,Meeting Together,"21L.706, 21L.906",G,Graduate program,21L,Literature,"Hum, Arts & Social Sciences","Jenkins, Henry",900022696,12,3,3,6,0,10,5/8/01 0:00,0,86CD64959D5E0327E0440003BACE90BC,21L.9061998SP
