ind,type,regex,randomString
0,email,[\w-]+@([\w-]+\.)+[\w-]+,gg3@MZRuufrqt.IQJjul.vN7._6M.EBadeKn1x
1,email,"^[A-Za-z0-9](([_\.\-]?[a-zA-Z0-9]+)*)@([A-Za-z0-9]+)(([\.\-]?[a-zA-Z0-9]+)*)\.([A-Za-z]{2,})$",k.Rhc5z2DHGu_EsEvK@Jjfq.AqN
3,email,"^([\w\d\-\.]+)@{1}(([\w\d\-]{1,67})|([\w\d\-]+\.[\w\d\-]{1,67}))\.(([a-zA-Z\d]{2,4})(\.[a-zA-Z\d]{2})?)$",eLMJ7v3@TTLeiBw.xiJ.3v
4,email,"^.+@[^\.].*\.[a-z]{2,}$",}^J:slj5@`Y$y.viakwucek
5,email,"(\w[-._\w]*\w@\w[-._\w]*\w\.\w{2,3})",oFWJSdc.X@OdN7cVM.YO2
6,email,"^([0-9a-zA-Z]([-.\w]*[0-9a-zA-Z])*@([0-9a-zA-Z][-\w]*[0-9a-zA-Z]\.)+[a-zA-Z]{2,9})$",j@kYUj3YbS.8ldDnps.uBGlSL.xo2Dc.SN8g.o1.btJWzsO-RcI.ZOV9i5Xb38e.XsCFb
7,email,"^(([A-Za-z0-9]+_+)|([A-Za-z0-9]+\-+)|([A-Za-z0-9]+\.+)|([A-Za-z0-9]+\++))*[A-Za-z0-9]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}$",7dD--------2xnyUYbO_____yO@k.OO9wI.yysSrW
8,email,"^((?:(?:(?:[a-zA-Z0-9][\.\-\+_]?)*)[a-zA-Z0-9])+)\@((?:(?:(?:[a-zA-Z0-9][\.\-_]?){0,62})[a-zA-Z0-9])+)\.([a-zA-Z0-9]{2,6})$",A.0.mXS1e+d4O2O+JN+JlawMCE-ME-W1x_9fT.7jF.pXdK_S-E2+h.Wk_3Y+Qn+q_M+62@uZc.gP_zxGxfB9C.A_QdX3h.q-a3-xu.yo4jF.b_PC-oo0.aYgh
9,email,"^(([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+([;.](([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+)*$",U@9LhX-1.nflNkxnk6uNQ@UCsvSOynq.ZqILY-zd@Ppi-iJ.mMZmtxammUMFDdApyOfnkAHYpHYLPPagk2FMmNz1@9.lJhbWctnF_TFP@bji.rFDOnUljJydIPSyOCqLLqrMkBa@gwWL.tZCXjVuVMVzRbp.15dZoclq3x@-ZXt.QmpriNouGS8@pX8.FecWGgnWos7QHmaaVePO@nf_wGImoeL.cDcxBQXEfhsmappvMKOrEIDHBHyQdXnjhZWo;4@434.JBBwPbPYQFzDwizIJvstXnPBWKAv7@DLUv3n.MDTJOKZxwehZWfyrijfOMRbeJeMiODmSAnwe4Iamb@Gx0CO.eNOgTUI1ttDu@djssO.ChtUXoSY6Vxs@W.FqzxkSOpLA.JxE4@B.hZjpHYyHddU@rRDsu.BOTpoePHABndtllAGvW@wrPpJRIEA.GmDgdkXeCQpXIxaOmDihJQOMFudpdBvZ.HotIjPdgi3@7cb6J.fFwBCvlHgzmMkCL;Kt.Z4_W@YVDwclSL0.agkTYNviLiQmF@ZSOro172m.GLWlrkwgehByC2UdvRih0@oEo.qxwtyQ.xS@RvqbDq.WzwgsgEmBeyR2@P5.FCAsUeSDCcyPuaBHyupXGxOHgWlaqpBikiHJAs4tC8dtJ@Qouu4.bhKUJPuZ.vkk0HI@a-39rQnd.GzhrXWzGXQhdZzu@se1gp-.YTPsjsrijrJIoZToWPwYlcXIfcZIJF@IM.Pj427.XMXmbNJrtEcpvZOEvTtISuuWjDpQkSMjYew@VNo.uvPAxDgYipmEAJ5qq@8zC0rt.NdWJZBEnWMDPvQ8o.R4O@NN2vuoTA.ruGawzVBfKZu;FomDAgNtaA@Ql9VREB.clDrwxRerpOEJM2-VCEfwq@hDz9-.aPnxwWbgOqxdkmzbAKZBqsVkuWMuaxVAxUPg0hVj8jbHW@bpOA.GsJsoapCkMqzBoVcnDtCc@NkgAwx4.nioeBkgvWiOqnfxpFZhmrWpKtnbTelgb8@VOvqtf.e2.lAoDcPChht6bjK34.p@pHpvp.mLZshprdHIGmAKNIkxGvCnLdQT@G8zws8.VUzukQuvtk7KIpccXY@NWJvQKdtp7.yokMAubYIvxyYTEIGpBlAmb@V.TTACnyXYYYlH-E@voTd.JtUexVI.IsVstPDTU@A355l.f.CrxqutYvw@uIHQO.AQwmgpXjTmRlENrCsywy8fSeBiUh@0hl9eXF.TubsOtWGilMKY@ePWNvkQl.zXAtvTjVVWBRLxtxTRMvnPtctBwUhoCzDS9RSkg@0MeO.U2-yC.hFnQADTgCHpq@XhZb.oreIFomAqQ@6.fSPkclSqiLwVNZJizOnNmtCknLtEtNcvo@DWOmL.roqKmSHqxDVGlZvBJsJftVSuhiGP6gEK.@ue649H6.dXuwMcEdhj.iq4Uvx@8NSwR40bkO.owlDBmtFJTGDwrSvMQFqnVLcnkEXaC.A3G0@YDpWICPi.HmqduMPRKOvJVuEuneTdkV3RL5@a.LhSFoCupczPNWNoDYqBYJXuG48@ok.eigAErjLojJBTLynvUWLnCnPNhz6__R5bt@e7t.BNRnVQgBEdZYiwc
10,email,"^([0-9a-zA-Z]+[-._+&amp;])*[0-9a-zA-Z]+@([-0-9a-zA-Z]+[.])+[a-zA-Z]{2,6}$",Cv3l8sTm+7hbM@TmiTY.Lew.q5VZq7y1F.y412sEi0vt.vM
